comparing:skynet_SN160_yields.txt xnet_SN160_yields.txt
sym:ti50 3.17941337902e-12 3.79442454112e-05
sym:ti51 5.70114210314e-17 3.41877535017e-08
sym:ne20 4.90750110782e-09 1.48957031312e-10
sym:si28 0.0042782347991 3.37561568064e-05
sym:si29 5.37925277175e-06 2.12730557752e-06
sym:ar40 1.18315385297e-12 1.76958174672e-08
sym:ti44 0.000307689461397 2.3007698164e-07
sym:si31 6.6881093697e-12 6.593301858e-09
sym:ca42 3.23097585787e-06 1.07204478268e-05
sym:si30 2.05030552493e-07 4.05962602673e-06
sym:ca43 5.69708695093e-09 9.49377115342e-07
sym:c13 3.47808213733e-14 1.96964468219e-13
sym:c12 9.37068467213e-08 1.06507757572e-08
sym:si32 4.99976562547e-15 2.48752347889e-10
sym:c14 5.72858699503e-18 1.66901083927e-15
sym:cl33 7.26308912746e-06 4.56331941008e-10
sym:cl34 9.08144343758e-06 2.86535308098e-08
sym:cl35 4.41963074416e-05 7.01485661135e-06
sym:cl36 5.19178713454e-08 4.13022299428e-07
sym:cl37 1.30993947032e-09 5.25023405598e-07
sym:zn59 8.38025570281e-08 1.69970716076e-13
sym:mn54 6.03870613565e-06 0.0127078222775
sym:mn55 9.04145265046e-08 0.00956254616277
sym:mn52 0.00131782878271 0.00109769921377
sym:mn53 0.00130366038723 0.054624408317
sym:mn50 8.44373275201e-05 2.79034303902e-08
sym:mn51 0.00863494749853 0.000142947677411
sym:fe54 0.149845156566 0.0959603601967
sym:fe55 0.00298307163765 0.0960039820571
sym:fe56 0.000267351103101 0.432068729311
sym:fe57 1.84574924376e-07 0.0149798718461
sym:d 3.09807214308e-11 2.09601144077e-11
sym:fe52 0.0425043738971 1.07696004341e-05
sym:fe53 0.0240584976914 0.000306319818576
sym:sc46 7.52103804294e-11 4.71202686065e-07
sym:fe58 5.46363464106e-10 0.00222790845179
sym:k41 4.97567764837e-10 1.10428777964e-07
sym:p 0.0133301187212 0.000179659044668
sym:ar36 0.00526623618562 1.23601223076e-05
sym:ar37 2.64717549455e-05 3.12642864948e-06
sym:ar38 9.06852003536e-06 5.37808797097e-05
sym:ar39 5.60201604094e-10 1.66656237294e-07
