comparing:/home/vtiwari/runs/XNetFlashTest/xnet_standalone/branches/public/my_code/xnetStandalone_SN150_yields.txt xnet_SN150_rho1e9_temp7e9_yields.txt
sym:ti50 9.13701107672e-07 0.0515883285688
sym:si28 0.00104589675287 3.86725490403e-12
sym:si29 6.85577155093e-05 1.90815509893e-10
sym:ar40 4.47458362412e-08 5.96714696404e-07
sym:ti44 0.000198095906888 4.39708561522e-18
sym:mn52 0.0168481323222 6.49757836615e-12
sym:ti47 0.000254134280998 8.98925686175e-09
sym:mn53 0.0426850259884 1.92325191101e-08
sym:ti46 0.00110993281863 3.37247245719e-11
sym:c13 2.9374682249e-10 7.45459188442e-11
sym:c12 2.45755838713e-06 5.22640794725e-10
sym:mn51 0.0120693553262 3.97980418017e-15
sym:cu61 0.00373764794705 4.96357697814e-12
sym:c14 1.89205654279e-12 5.54184194061e-10
sym:cl33 3.8360584922e-06 1.29841325832e-19
sym:cl34 3.10822730197e-05 9.17238221211e-16
sym:cl35 0.000249836839537 9.092767977e-12
sym:cl36 1.00666626584e-05 4.34896061882e-10
sym:cl37 1.97200723736e-06 9.40124765176e-08
sym:zn59 3.13819426018e-07 5.09904219289e-29
sym:mn54 0.00517469063871 2.72435389519e-06
sym:mn55 0.00071468473691 0.000439542337229
sym:si31 7.36287964473e-08 2.53028169092e-07
sym:si30 1.79474490795e-05 5.91076296664e-08
sym:mn50 0.000140669956059 3.97764337507e-20
sym:si32 9.90083972036e-10 4.35206504679e-06
sym:fe54 0.221352573104 1.98720235727e-11
sym:fe55 0.079130125214 8.29846913574e-09
sym:fe56 0.0396931821899 4.86013279746e-06
sym:fe57 0.00126382754464 0.000180869849895
sym:fe52 0.00629138296101 4.13943671546e-19
sym:fe53 0.0247543966441 1.90269100324e-15
sym:k40 1.28545832992e-05 2.96456492123e-11
sym:k41 1.34105968141e-06 3.68801646715e-09
sym:p 1.78874486313e-08 8.06637608233e-07
sym:ar36 0.0012218516927 9.10596982208e-15
sym:ar37 0.000178302369598 1.47914938458e-12
sym:ar38 0.00018444073442 1.84837206487e-09
sym:ar39 1.29520371599e-06 1.53301570474e-08
sym:n13 1.75276638419e-09 7.79355612308e-17
sym:mg26 4.17775904166e-08 2.40105082244e-09
sym:n14 1.69668581484e-09 8.94078691142e-14
sym:n15 1.19602463426e-09 7.15376597341e-11
sym:ne21 2.00003021785e-09 1.01638481713e-12
sym:ne20 1.75755222027e-07 1.28159891056e-13
sym:ne22 7.91530677681e-11 1.09859361582e-10
sym:zn66 2.14989185709e-06 1.0997138767e-06
sym:zn64 0.000206306293441 7.58607669516e-11
sym:zn65 1.87395976479e-05 8.12017183118e-09
sym:zn62 0.000773898461727 2.05041300986e-16
sym:zn63 0.000364224063909 1.13769441044e-13
sym:zn60 5.91453961039e-05 1.13196992158e-23
sym:zn61 0.000211936001699 4.76727257331e-20
sym:b8 9.61596978085e-17 1.0834758689e-25
sym:ni61 0.000810796332527 6.34586888896e-06
sym:ni60 0.0132188219614 8.79305810235e-08
sym:ni62 5.41695316066e-05 0.000499903261088
sym:na21 1.36953111979e-09 1.27167076686e-19
sym:na23 1.49094440221e-08 3.04297765148e-12
sym:na22 1.34148253407e-09 3.24361890107e-16
sym:ca40 0.00148663837802 5.92421498757e-16
sym:ca41 0.000196557046796 9.2883763798e-14
sym:ca42 0.000110182344669 6.07370676882e-11
sym:ca43 7.90544958194e-06 5.03617029211e-09
sym:ca44 1.51520324453e-06 1.1386739584e-06
sym:ca45 3.25846782554e-08 2.85730192613e-05
sym:ca46 1.7494671165e-09 0.00180433453838
sym:ca47 1.96343399934e-11 0.0235847330353
sym:ca48 4.95942664502e-13 0.693788836137
sym:ti49 6.65673215938e-06 0.00032168511904
sym:ti48 0.000131630688157 5.44281608132e-06
sym:p32 3.26337869092e-06 2.49323401947e-09
sym:p33 2.43537713042e-07 2.21837683727e-07
sym:p30 1.98052767845e-05 1.1372891247e-14
sym:p31 0.000124469521643 7.42816637152e-11
sym:ti45 0.000250628040223 6.4990257032e-15
sym:al25 3.47369031519e-08 3.42079875973e-19
sym:al24 3.70460357488e-12 2.02550222779e-26
sym:al27 2.95709893005e-06 3.60431226954e-11
sym:al26 1.8264190974e-07 1.84927621784e-15
sym:o17 4.39390213025e-10 6.50666672428e-12
sym:o16 4.42112780204e-06 5.59487527729e-11
sym:o15 3.42191897172e-09 3.13639247097e-17
sym:o14 2.71654645593e-11 2.48862097792e-22
sym:mg23 4.41486133334e-09 1.60119015491e-19
sym:o18 9.81174304191e-13 1.40110629798e-11
sym:mg24 1.94716105408e-05 4.78392874733e-13
sym:mg25 1.27034350953e-07 9.0293975277e-12
sym:be9 8.427237106e-13 3.74429951634e-12
sym:v47 0.000933367194331 5.66029703309e-15
sym:v46 1.32351648877e-05 6.89255548932e-20
sym:v49 0.0016139020705 1.3364197788e-08
sym:v48 0.000901673987553 6.39124903278e-12
sym:be7 3.84692175719e-12 1.24390745129e-17
sym:s35 6.78726415088e-07 1.42624527819e-07
sym:s34 0.000113407583199 1.91578176537e-08
sym:s36 2.81382915752e-08 7.01289258095e-06
sym:s33 0.000180499333298 2.85365073757e-11
sym:s32 0.00166634966773 2.20284708621e-13
sym:cu57 5.68723345682e-06 4.00083648082e-27
sym:cr50 0.0234220804624 3.87462067047e-11
sym:cr51 0.00806978408108 1.55726676389e-08
sym:cr52 0.00693160838285 1.56463456628e-05
sym:cr53 0.000242004808115 0.000638450348319
sym:cr54 1.104682899e-05 0.0340631594745
sym:cu59 0.00299944260284 2.8807546762e-18
sym:cu58 0.000174227619536 1.43041654562e-22
sym:he4 0.0294935221148 0.00175686257284
sym:he3 3.15373666609e-09 1.65366802292e-13
sym:cu60 0.00319036287997 3.59775626774e-15
sym:n 5.01330270646e-06 0.00586459659503
sym:f18 9.60605767773e-11 2.12103135488e-16
sym:f19 4.78646943628e-11 1.76735378504e-13
sym:v50 0.000216285132631 2.09156784773e-06
sym:v51 8.54250453212e-05 0.000963300894408
sym:f17 1.16825146646e-09 3.04343010873e-18
sym:co53 4.94039285087e-06 6.47081066658e-26
sym:co55 0.0721658070779 1.28887933033e-15
sym:co54 0.000678801170615 1.03819427824e-20
sym:co57 0.0646841729896 1.57570038526e-09
sym:co56 0.0671506696845 1.4000901257e-12
sym:co59 0.000814951150156 2.71403340546e-05
sym:co58 0.00638324292812 1.81582916439e-07
