xnetStandalone_SN150_yields_rho1e9_T5e9.txt xnetFlash_SN150_rho1e9_T5e9_yields.txt L2_Error
sym:ti50 1.7387106198e-12 0.00613314648579 21634126.6721
sym:si28 6.37019394699e-05 4.12625598707e-08 6.36194410778e-05
sym:si29 1.35329911209e-07 2.57730646159e-08 8.86921636779e-08
sym:ar40 1.58850081075e-13 1.09868271457e-07 0.075989902467
sym:ti44 4.46522525494e-05 6.60641639229e-11 4.46521204212e-05
sym:mn52 0.000765966349579 1.24671528058e-05 0.000741234963977
sym:ti47 2.52791532501e-07 1.8238529217e-05 0.00127965821028
sym:mn53 0.000937076489277 0.00559699018006 0.0231729168899
sym:ti46 1.83171528516e-05 3.594203231e-06 1.18340032039e-05
sym:c13 4.34288430125e-16 1.82519583882e-14 7.31010408551e-13
sym:c12 9.49056436833e-10 1.05080461054e-10 7.50530126606e-10
sym:mn51 0.00404657673351 1.79108834981e-07 0.00404621852376
sym:cu61 8.36164398556e-05 1.77979416555e-05 5.1808887257e-05
sym:c14 9.17168057111e-20 1.33222581117e-15 1.93484850634e-11
sym:cl33 1.00496541372e-07 3.10050877852e-14 1.00496479362e-07
sym:cl34 3.51380478985e-07 2.14507772918e-11 3.5133757874e-07
sym:cl35 2.37829046935e-06 4.97918237618e-08 2.27974926208e-06
sym:cl36 3.41588556379e-09 3.01992881785e-08 2.10004299684e-07
sym:cl37 1.16915250767e-10 4.03330761202e-07 0.0013905919416
sym:zn59 1.99762821193e-07 1.0086943679e-18 1.99762821191e-07
sym:mn54 5.35798819798e-06 0.0117617831505 25.7957889211
sym:mn55 9.90143642823e-08 0.0798896646317 64458.7554623
sym:si31 3.92724773482e-13 8.46342516187e-09 0.000182374331511
sym:si30 7.71558002127e-09 5.2326168813e-07 3.44481929878e-05
sym:mn50 3.18900735501e-05 3.8658792185e-12 3.18900658183e-05
sym:si32 2.94914165908e-16 3.0977795378e-09 0.0325390820346
sym:fe54 0.122901003092 0.000870081419392 0.121167000021
sym:fe55 0.00302032868902 0.00786237698073 0.00776254311146
sym:fe56 0.000334144092412 0.31894887463 303.807096462
sym:fe57 2.84534810961e-07 0.0998726585353 35055.4333046
sym:d 4.5764684816e-13 2.07168212594e-13 1.37091617974e-13
sym:fe52 0.0228347291497 1.19973967371e-09 0.0228347267502
sym:fe53 0.0159683983774 3.08075108207e-07 0.0159677822331
sym:k40 6.85696545187e-09 1.66252252688e-08 1.39156162476e-08
sym:k41 6.62146146852e-11 5.61235078605e-08 4.74581048457e-05
sym:p 0.000159435870834 1.96119025372e-07 0.000159043874025
sym:ar36 0.000267296921053 7.88006939351e-09 0.000267281161147
sym:ar37 1.68186718772e-06 2.07190895396e-08 1.64068424917e-06
sym:ar38 7.72953689606e-07 3.58984522106e-06 1.02656575765e-05
sym:ar39 5.87535569152e-11 1.0221236834e-07 0.000177612412952
sym:n13 1.82396776831e-13 2.45901928758e-17 1.8234759976e-13
sym:mg26 5.34054794358e-13 1.68733410794e-10 5.29740087676e-08
sym:n14 2.78001109685e-14 1.41098419988e-15 2.50497565423e-14
sym:n15 4.31498366129e-15 9.15364042436e-14 1.76306025829e-12
sym:ne21 5.71181323086e-15 1.57606194775e-14 1.76788881045e-14
sym:ne20 5.57120975331e-11 3.84176455678e-13 5.49463938049e-11
sym:ne22 5.37530736048e-17 7.04514634156e-14 9.21963580693e-11
sym:zn66 3.64877725276e-11 0.000163379926117 731.559820899
sym:zn64 6.12976380191e-07 2.01806582671e-05 0.000624647517916
sym:zn65 1.68780694773e-09 2.03804940857e-05 0.246056426006
sym:zn62 0.000113071654718 2.8256402098e-08 0.000113015148975
sym:zn63 3.20653927618e-06 2.94148804831e-07 2.64522512498e-06
sym:zn60 0.000119660272276 2.20539961323e-13 0.000119660271835
sym:zn61 5.01971366075e-05 3.39338407221e-11 5.01970687398e-05
sym:b8 2.70051244543e-23 6.96976404818e-30 2.70051105147e-23
sym:ni61 2.58834562254e-07 0.0171431052754 1135.38617693
sym:ni60 0.000154597208425 0.0278943235819 4.97740177275
